date,total_case
2019-01-07,30
2019-01-14,18
2019-01-21,18
2019-01-28,23
2019-02-04,28
2019-02-11,29
2019-02-18,20
2019-02-25,17
2019-03-03,20
2019-03-10,22
2019-03-17,22
2019-03-24,24
2019-03-31,21
2019-04-07,15
2019-04-14,18
2019-04-21,19
2019-04-28,19
2019-05-05,14
2019-05-12,17
2019-05-19,21
2019-05-26,15
2019-06-02,29
2019-06-09,43
2019-06-16,58
2019-06-23,70
2019-06-30,70
2019-07-07,65
2019-07-14,104
2019-07-21,80
2019-07-28,80
2019-08-04,76
2019-08-11,76
2019-08-18,72
2019-08-25,43
2019-09-01,45
2019-09-08,40
2019-09-15,38
2019-09-22,56
2019-09-29,55
2019-10-06,53
2019-10-13,62
2019-10-20,79
2019-10-27,50
2019-11-03,54
2019-11-10,49
2019-11-17,56
2019-11-24,32
2019-12-01,29
2019-12-08,41
2019-12-15,20
2019-12-22,10
2019-12-29,23
2020-01-07,29
2020-01-14,21
2020-01-21,18
2020-01-28,23
2020-02-04,7
2020-02-11,15
2020-02-18,14
2020-02-25,8
2020-03-03,7
2020-03-10,6
2020-03-17,4
2020-04-07,3
2020-04-14,3
2020-04-21,2
2020-05-05,2
2020-05-12,3
2020-05-19,4
2020-05-26,5
2020-06-02,6
2020-06-09,6
2020-06-16,6
2020-06-23,13
2020-06-30,14
2020-07-07,8
2020-07-14,27
2020-07-21,32
2020-07-28,43
2020-08-04,28
2020-08-11,26
2020-08-18,21
2020-08-25,15
2020-09-01,25
2020-09-08,22
2020-09-15,19
2020-09-22,17
2020-09-29,4
2020-10-06,13
2020-10-13,9
2020-10-20,11
2020-10-27,15
2020-11-03,8
2020-11-10,3
2020-12-29,36
2021-01-07,1
2021-01-14,1
2021-01-21,2
2021-01-28,3
2021-02-04,2
2021-02-11,4
2021-02-18,3
2021-03-03,2
2021-03-10,2
2021-03-17,3
2021-03-31,1
2021-04-07,1
2021-04-14,1
2021-04-21,2
2021-04-28,2
2021-05-12,3
2021-05-19,3
2021-05-26,2
2021-06-02,4
2021-06-09,2
2021-06-16,5
2021-06-30,2
2021-07-28,3
2021-08-04,2
2021-08-11,2
2021-10-06,1
2021-10-20,1
2021-11-03,1
2021-11-10,2
2021-11-24,1
2021-12-01,1
2021-12-08,2
2021-12-15,1
2021-12-22,1
2021-12-29,6
2022-01-14,4
2022-01-21,2
2022-01-28,2
2022-02-04,1
2022-02-11,1
2022-02-18,1
2022-02-25,2
2022-03-03,1
2022-03-10,1
2022-03-17,2
2022-03-31,1
2022-04-07,5
2022-04-14,1
2022-04-21,3
2022-04-28,6
2022-05-05,3
2022-05-12,5
2022-05-19,2
2022-05-26,4
2022-06-02,8
2022-06-09,14
2022-06-16,16
2022-06-23,21
2022-06-30,24
2022-07-07,23
2022-07-14,7
2022-07-21,14
2022-07-28,17
2022-08-04,16
2022-08-11,18
2022-08-18,19
2022-08-25,18
2022-09-01,12
2022-09-08,21
2022-09-15,30
2022-09-22,18
2022-09-29,25
2022-10-06,25
2022-10-13,38
2022-10-20,25
2022-10-27,24
2022-11-03,21
2022-11-10,29
2022-11-17,22
2022-11-24,17
2022-12-01,19
2022-12-08,20
2022-12-15,16
2022-12-22,14
2022-12-29,4
2023-01-07,23
2023-01-14,16
2023-01-21,32
2023-01-28,22
2023-02-04,27
2023-02-11,25
2023-02-18,32
2023-02-25,35
2023-03-03,30
2023-03-10,42
2023-03-17,21
2023-03-24,44
2023-03-31,22
2023-04-07,34
2023-04-14,31
2023-04-21,31
2023-04-28,25
2023-05-05,14
2023-05-12,24
2023-05-19,22
2023-05-26,19
2023-06-02,24
2023-06-09,11
2023-06-16,34
2023-06-23,32
2023-06-30,17
2023-07-07,37
2023-07-14,48
2023-07-21,34
2023-07-28,67
2023-08-04,42
2023-08-11,56
2023-08-18,56
2023-08-25,36
2023-09-01,53
2023-09-08,56
2023-09-15,59
2023-09-22,46
2023-09-29,51
2023-10-06,50
2023-10-13,52
2023-10-20,47
2023-10-27,58
2023-11-03,54
2023-11-10,49
2023-11-17,37
2023-11-24,34
2023-12-01,28
2023-12-08,24
2023-12-15,18
2023-12-22,11
2023-12-29,22
